title,release_date,director,duration,category,actor,resume,press_rating,spectator_rating,friend_rating
Star Wars : Episode III - La Revanche des Sith,,George Lucas,2h 20min,"Action,Aventure,Science Fiction","Hayden Christensen,Ewan McGregor,Natalie Portman","La Guerre des Clones fait rage. Une franche hostilité oppose désormais le Chancelier Palpatine au Conseil Jedi. Anakin Skywalker, jeune Chevalier Jedi pris entre deux feux, hésite sur la conduite à tenir...","3,9","4,2",--
Dragons 3 : Le monde caché,,Dean DeBlois,1h 44min,"Aventure,Animation,Famille","Donald Reignoux,Jay Baruchel,Florine Orphelin","Harold est maintenant le chef de Berk au côté d’Astrid et Krokmou, en tant que dragon, est devenu le leader de son espèce. Ils réalisent enfin leurs rêves de vivre en paix entre vikings et dragons. Mais lorsque l’apparition soudaine d’une Furie Eclair coïncide avec la plus grande menace que le village n’ait jamais connue, Harold et Krokmou sont forcés de quitter leur village pour un voyage dans un monde caché...","3,9","4,2",--
Pupille,,Jeanne Herry,1h 50min,Drame,"Sandrine Kiberlain,Gilles Lellouche,Élodie Bouchez",Théo est remis à l'adoption par sa mère biologique le jour de sa naissance. C'est un accouchement sous X. La mère à deux mois pour revenir sur sa décision...ou pas. Les services de l'aide sociale à l'enfance et le service adoption se mettent en mouvement. ,"4,3","4,2",--
Metropolis,19 octobre 2011,Fritz Lang,2h 33min,"Science Fiction,Thriller","Brigitte Helm,Alfred Abel,Rudolf Klein-Rogge",Des ouvriers travaillent dans les souterrains d'une fabuleuse métropole de l'an 2026. Ils assurent le bonheur des nantis qui vivent dans les jardins suspendus de la ville. Un androïde mène les ouvriers vers la révolte.,"4,8","4,2",--
Qu'est-il arrivé à Baby Jane ?,,Robert Aldrich,2h 14min,"Drame,Thriller","Bette Davis,Joan Crawford,Victor Buono","Jane, actrice de second plan, envie la gloire de sa soeur, Blanche, star du grand écran. Quelques années plus tard, Jane aigrie et usée terrorise et sequestre Blanche dont la carrière a été stoppée par une infirmité.",,"4,2",
Old Boy,,Park Chan-Wook,"1h 59min
 ","Action,Drame,Thriller","Choi Min-sik,Yoo Ji-tae,Kang Hye-Jeong","Fin des années 80. Un père de famille est enlevé sans raison et séquestré dans une cellule. Il apprend par la télévision de sa cellule qu'il est accusé du meurtre de sa femme. Relâché 15 ans plus tard, il est contacté par celui qui l'avait enlevé.","4,0","4,2",--
Mademoiselle,,,2h 31min,"Drame,Romance","Kim Min-Hee,Tae-ri Kim,Jung-woo Ha","Corée. Années 30, pendant la colonisation japonaise. Une jeune femme est engagée comme servante d’une riche japonaise, vivant recluse dans un immense manoir sous la coupe d’un oncle tyrannique. Mais Sookee a un secret.","3,8","4,2",--
Love Exposure,,Sion Sono,3h 57min,"Action,Comédie,Drame","Makiko Watanabe,Itsuji Itao,Takahiro Nishijima","Fils d’un prêtre respecté, Yu intègre un groupe de pervers professionnels afin de vivre dans le péché. Malgré une vie de débauche, le jeune homme ne désespère pas de trouver l’âme soeur.",,"4,2",
La Belle équipe,6 avril 2016,Julien Duvivier,1h 35min,Comédie dramatique,"Jean Gabin,Charles Vanel,Raymond Aimos","Cinq ouvriers chômeurs parisiens, Jean, Charles, Raymond, Jacques et Mario, un étranger menacé d'expulsion, gagnent le gros lot de la loterie nationale. Jean a l'idée de placer cet argent en commun, dans l'achat d'un vieux lavoir de banlieue en ruine, qu'ils transformeront en riante guinguette...",,"4,2",
Le Dîner de cons,,Francis Veber,1h 20min,Comédie,"Thierry Lhermitte,Jacques Villeret,Francis Huster","Tous les mercredis, Pierre Brochant et ses amis organisent un dîner où chacun doit amener un con. Celui qui a trouvé le plus spectaculaire est declaré vainqueur. Ce soir, Brochant exulte, il est sur d'avoir trouvé la perle rare, un con de classe mondiale: Francois Pignon, comptable au ministère des Finances et passionné de modèles réduits ...",,"4,2",
Le Loup de Wall Street,,Martin Scorsese,2h 59min,"Biopic,Drame","Leonardo DiCaprio,Jonah Hill,Margot Robbie","L’argent. Le pouvoir. Les femmes. La drogue. Les tentations étaient là, à portée de main, et les autorités n’avaient aucune prise. Aux yeux de Jordan et de sa meute, la modestie était devenue complètement inutile. Trop n’était jamais assez…","4,0","4,2",--
Mystic River,,Clint Eastwood,2h 17min,"Policier,Drame,Thriller","Tim Robbins,Kevin Bacon,Laurence Fishburne","Trois amis d'enfance se perdent de vue. 25 ans plus tard, une affaire de meurtre les réunit à nouveau. La fille de Jimmy est retrouvée assassinée. Le père endeuillé rêve de se venger et Sean, affecté à l'enquête, croit connaître le coupable...","4,7","4,2",--
Brève Rencontre,6 juillet 2011,David Lean,1h 26min,"Drame,Romance","Celia Johnson,Trevor Howard,Cyril Raymond","Dans le café-buffet de la gare de Milford, un homme et une femme se disent adieu. Troublée par l’arrivée fortuite d’une amie encombrante, Laura, la femme, fait un malaise au moment où l’homme la quitte pour prendre son train.",,"4,2",
Ready Player One,,Steven Spielberg,2h 20min,"Action,Science Fiction","Tye Sheridan,Olivia Cooke,Ben Mendelsohn","2045. Le monde est au bord du chaos. Les êtres humains se réfugient dans l'OASIS, univers virtuel mis au point par le brillant et excentrique James Halliday. Avant de disparaître, celui-ci a décidé de léguer son immense fortune à quiconque découvrira l'œuf de Pâques numérique qu'il a pris soin de dissimuler dans l'OASIS.","4,0","4,2",--
Les Forbans de la nuit,26 octobre 2005,Jules Dassin,1h 35min,"Policier,Drame","Richard Widmark,Gene Tierney,Googie Withers",Londres. Un petit escroc veut organiser de grands combats de catch. Il se heurte au chef de gang qui a un contrôle absolu sur ces manifestations. C'est alors une course folle dans les bas-fonds de Londres.,,"4,2",
L'Aventure de Mme Muir,22 octobre 2014,Joseph L. Mankiewicz,1h 44min,"Drame,Fantastique,Romance","Rex Harrison,George Sanders","Au début du siècle, Lucy Muir achète une étrange maison sur la côte anglaise. Etrange en effet, car la demeure est occupée par son ancien propriétaire, le capitaine Gregg. Enfin, par son fantôme...","5,0","4,2",--
Patients,, Grand Corps Malade,1h 52min,"Comédie,Drame","Pablo Pauly,Soufiane Guerrab,Moussa Mansaly","Se laver, s'habiller, marcher, jouer au basket, voici ce que Ben ne peut plus faire à son arrivée dans un centre de rééducation suite à un grave accident. Ses nouveaux amis sont tétras, paras, traumas crâniens.... ","3,8","4,2",--
Hasta la vista,,Geoffrey Enthoven,1h 53min,Comédie dramatique,"Robrecht Vanden Thoren,Johan Heldenbergh,Gilles De Schrijver","Trois jeunes handicapés physiques d’une vingtaine d’années aiment le vin et les femmes, mais ils sont encore vierges. Sous prétexte d’une route des vins, ils embarquent pour un voyage en Espagne dans l’espoir d’avoir leur première expérience sexuelle.","3,5","4,2",--
L'école du bout du monde,,Pawo Choyning Dorji,1h 49min,"Aventure,Drame,Famille","Sherab Dorji,Ugyen Norbu Lhendup,Kelden Lhamo Gurung","Un jeune instituteur du Bhoutan est envoyé dans la partie la plus reculée du pays. Loin de la ville, le quotidien est rude, mais la force spirituelle des habitants du village transformera son destin.","3,5","4,2",--
Le Gouffre aux chimères,15 février 2017,Billy Wilder,1h 51min,Drame,"Kirk Douglas,Jan Sterling,Porter Hall","Charles Tatum, journaliste sans scrupules, va exploiter un scoop. Au Nouveau-Mexique, Léo Minosa, un Indien, est coincé au fond d'une galerie effondrée. S'arrangeant pour être le seul journaliste sur le coup, Tatum va persuader le shérif de choisir la formule de sauvetage la plus lente.","4,3","4,2",--
Chaînes conjugales,7 décembre 2016,Joseph L. Mankiewicz,1h 43min,Comédie dramatique,"Jeanne Crain,Linda Darnell,Ann Sothern","Deborah Bishop, Rita Phipps et Laura May Hollingsway partent en croisière laissant leurs maris respectifs. Mais avant de partir, elles reçoivent une lettre d'une de leur amie commune, Addie Ross, dans laquelle elle prévient qu'elle part avec le mari de l'une d'entre elles. Mais lequel ?","5,0","4,2",--
Pride,,Matthew Warchus,2h 00min,"Comédie,Drame","Bill Nighy,Imelda Staunton,Paddy Considine","Eté 1984 - Margaret Thatcher est au pouvoir et l’Union Nationale des Mineurs est en grève. Lors de la Gay Pride à Londres, un groupe d’activistes gay et lesbien décide de récolter de l’argent pour venir en aide aux familles des mineurs en grève.","3,7","4,2",--
Le Roman de Mildred Pierce,17 mai 2006,Michael Curtiz,1h 51min,"Policier,Drame","Joan Crawford,Jack Carson,Zachary Scott","Mildred Pierce est interrogée par la police après la mort de son second mari. Elle revient alors sur sa vie, de son premier mariage à ses efforts pour satisfaire les besoins de sa fille.","4,5","4,2",--
The Grand Budapest Hotel,,Wes Anderson,1h 40min,"Comédie,Drame","Ralph Fiennes,Tony Revolori,F. Murray Abraham","Le film retrace les aventures de Gustave H, l’homme aux clés d’or d’un célèbre hôtel européen de l’entre-deux-guerres et du garçon d’étage Zéro Moustafa, son allié le plus fidèle.","4,5","4,2",--
La Garçonnière,16 janvier 2019,,2h 05min,"Comédie dramatique,Romance","Jack Lemmon,Shirley MacLaine,Fred MacMurray","C.C. Baxter est employé à la Sauvegarde, grande compagnie d'assurance. Dans l'espoir d'un avancement il prête souvent son appartement à ses supérieurs qui y emmènent leurs petites amies. Un jour le chef du personnel le convoque et lui apprend qu'il sait tout...","3,9","4,2",--
La Trilogie Marseillaise de Marcel Pagnol : Marius,10 juillet 2019,Alexander Korda,2h 10min,"Comédie,Comédie dramatique,Romance"," Raimu,Pierre Fresnay,Fernand Charpin","Marseille – Le bar de la Marine – Marius est un jeune homme que la mer exalte. Il aime son père César, bourru et bonhomme, il aime aussi la petite Fanny qui vend des coquillages devant le bar de César. Depuis son enfance, l’envie de courir le monde l’enflamme. ",,"4,2",
Au nom du père,,Jim Sheridan,2h 13min,Drame,"Daniel Day-Lewis,Pete Postlethwaite,Emma Thompson","En 1975, Gerry Conlon, jeune délinquant originaire de Belfast, est arrêté par la police londonienne qui l'accuse d'être l'instigateur des attentats terroristes à Guildford pour le compte de l'IRA.","3,6","4,2",--
Les Indestructibles 2,,Brad Bird,1h 58min,"Aventure,Animation,Famille","Gérard Lanvin,Craig T. Nelson,Déborah Perret","La suite des aventures de la famille Indestructibles. Alors qu'Hélène (Elastic Girl) prend la tête de la mission ""sauver le monde"", Bob (Mr Indestructible) se retrouve en dehors de sa zone de confort à devoir gérer de manière chaotique les tâches de la vie quotidienne.","4,2","4,2",--
Dragons 2,,Dean DeBlois,1h 43min,"Aventure,Animation,Famille","Donald Reignoux,Jay Baruchel,Cate Blanchett","Ce film est présenté hors-compétition au Festival de Cannes 2014.Tandis qu’Astrid, Rustik le Morveux et le reste de la bande se défient durant des courses sportives de dragons devenues populaires sur l’île, notre duo désormais inséparable parcourt les cieux, à la découverte de territoires inconnus et de nouveaux mondes.","4,0","4,2",--
American Beauty,,Sam Mendes,2h 02min,Drame,"Kevin Spacey,Annette Bening,Thora Birch","Une maison de rêve, un pavillon bourgeois discrètement cossu dissimule dans une banlieue résidentielle, c'est ici que résident Lester Burnhamm, sa femme Carolyn et leur fille Jane. L'agitation du monde et sa violence semblent bien loin ici. Mais derrière cette respectable façade se tisse une étrange et grinçante tragi-comédie familiale ou ...","3,9","4,2",--
"3 Billboards, Les Panneaux de la vengeance",,Martin McDonagh,1h 56min,Drame,"Frances McDormand,Woody Harrelson,Sam Rockwell","Après des mois sans que l'enquête sur la mort de sa fille ait avancé, Mildred Hayes prend les choses en main, affichant un message controversé visant le très respecté chef de la police sur trois grands panneaux à l'entrée de leur ville.","3,9","4,2",--
L'Etrange Noël de M. Jack,,Henry Selick,1h 15min,"Animation,Fantastique,Comédie musicale","Chris Sarandon,Danny Elfman,Catherine O'Hara","Voici l'histoire de Jack Skellington, le roi des citrouilles de la ville Halloween, qui découvre un beau jour la ville de Noël et décide de célébrer lui-même cette fête étrange.","4,8","4,2",--
La Cité de Dieu,,Kátia Lund,2h 15min,"Policier,Drame","Alexandre Rodrigues,Leandro Firmino da Hora,Seu Jorge","Dans une favela de Rio de Janeiro, dans les années 60, Fusée, un gamin noir et pauvre, rêve de devenir photographe professionnel. Petit Dé, un enfant de 11 ans, emménage dans la Cité. Il souhaite pour sa part devenir le plus grand criminel de Rio...","3,9","4,2",--
Loulou,30 octobre 2019,Georg Wilhelm Pabst,2h 13min,Drame,"Louise Brooks,Fritz Kortner,Franz Lederer","Loulou, belle, capricieuse, insouciante et innocemment perverse, est une créature qui ne vit que pour l'amour. Elle joue dans une revue que commandite son amant, Ludwig Schön, un puissant magnat de la presse et du music-hall...",,,
Le Septieme Juré,,Georges Lautner,1h 36min,Drame,"Jacques Monod,Maurice Biraud,Bernard Blier","Un pharmacien etrangle une femme dans un bois. Alors qu'un innocent est accuse, le coupable se retrouve juré au proces de son propre crime.",,"4,2",
Haute pègre,23 janvier 2019,Ernst Lubitsch,1h 23min,Comédie,"Miriam Hopkins,Kay Francis,Herbert Marshall","Gaston et Lilly, deux escrocs tombés amoureux, décident de s’associer. Alors que l’Europe entière parle de leurs méfaits, ils jettent leur dévolu sur une nouvelle victime, la riche et belle Mariette Collet. Mais Gaston va vite tomber sous son charme…","4,5","4,2",--
Mary et Max.,,Adam Elliot,1h 32min,"Animation,Comédie","Toni Collette,Philip Seymour Hoffman,Eric Bana","L'amitié entre une petite fille grassouillette de 8 ans et un homme de 44 ans, obèse, atteint de la maldie d'Asperger. Tous deux vivent respectivement à Melbourne et New York.","4,3","4,2",--
Nous trois ou rien,, Kheiron,1h 42min,Comédie dramatique,"Leïla Bekhti,Gérard Darmon","D’un petit village du sud de l’Iran aux cités parisiennes, Kheiron nous raconte le destin hors du commun de ses parents Hibat et Fereshteh, éternels optimistes, dans une comédie aux airs de conte universel qui évoque l’amour familial, le don de soi et surtout l’idéal d’un vivre-ensemble.","3,6","4,2",--
New York-Miami,4 février 2015,Frank Capra,1h 45min,"Comédie,Romance","Ward Bond,Blanche Friderici,Clark Gable","Ellie fuit son père millionnaire et décide de rallier New York. Elle rencontre Pete, un journaliste, dans le bus, qui comprend très vite qui elle est, son père ayant promis une récompense à qui la lui ramènerait...","4,7","4,2",--
Piège de cristal,3 septembre 2014,John McTiernan,2h 12min,Action,"Bruce Willis,Alan Rickman,Alexander Godunov","Des terroristes investissent le siège social d'une multinationale à Los Angeles. Holly, l'ex-femme de John McClane, policier new-yorkais venu sur la côte Ouest pour Noël, est prise en otage. McLane, enfermé dans le bâtiment, passe à l'action...","3,6","4,2",--
L'Île aux chiens,,Wes Anderson,1h 42min,"Aventure,Animation","Vincent Lindon,Bryan Cranston,Louis Garrel","En raison d’une épidémie de grippe canine, le maire de Megasaki ordonne la mise en quarantaine de tous les chiens de la ville, envoyés sur une île qui devient alors l’Ile aux Chiens. Le jeune Atari, 12 ans, vole un avion et se rend sur l’île pour rechercher son fidèle compagnon, Spots. Aidé par une bande de cinq chiens intrépides et attachants, il découvre une conspiration qui menace la ville.","4,1","4,2",--
Le Salaire de la Peur,8 novembre 2017,Henri-Georges Clouzot,2h 31min,"Aventure,Thriller","Yves Montand,Charles Vanel,Peter van Eyck","Quatre hommes acceptent de véhiculer, au péril de leur vie, un chargement de nitroglycérine sur cinq cents kilomètres de routes défoncées. L'énorme prime de ce ""quitte ou double"" périlleux est le seul moyen de quitter le village d'Amérique centrale dans lequel ils ont échoué.",,"4,2",
Harry Potter et les reliques de la mort - partie 2,,David Yates,2h 10min,"Aventure,Fantastique","Daniel Radcliffe,Rupert Grint,Emma Watson","Dans la 2e Partie de cet épisode final, le combat entre les puissances du bien et du mal de l’univers des sorciers se transforme en guerre sans merci. Les enjeux n’ont jamais été si considérables et personne n’est en sécurité.","3,8","4,2",--
Nausicaä de la vallée du vent,,Hayao Miyazaki,1h 57min,"Aventure,Animation","Gorô Naya,Ichirô Nagai,Mîna Tominaga","Confrontée à la disparition des ressources naturelles de sa planète, la princesse guerrière Nausicaä rassemble son peuple contre l'armée destructrice d'une reine infâme.","4,5","4,2",--
Platoon,25 juillet 2018,Oliver Stone,2h 00min,"Drame,Guerre","Charlie Sheen,Tom Berenger,Willem Dafoe","Septembre 1967: Chris Taylor, dix-neuf ans, rejoint la compagnie Bravo du 25ème régiment d'infanterie, près de la frontière cambodgienne. Chris, issu d'une famille bourgeoise s'est engagé volontairement et, plein d'idéal entend bien servir son pays.","4,6","4,2",--
The Revenant,,Alejandro González Iñárritu,2h 36min,"Aventure,Western","Leonardo DiCaprio,Tom Hardy,Domhnall Gleeson","Dans une Amérique profondément sauvage, Hugh Glass, un trappeur, est attaqué par un ours et grièvement blessé. Abandonné par ses équipiers, il est laissé pour mort. Mais Glass refuse de mourir.","3,8","4,2",--
Le Nom de la Rose,,Jean-Jacques Annaud,2h 11min,"Aventure,Policier,Drame","Sean Connery,Christian Slater,Helmut Qualtinger","En l'an 1327, dans une abbaye bénédictine, des moines disparaissent. Un franciscain, Guillaume de Baskerville aidé du jeune novice Adso von Melk mène l'enquête. C'est l'époque où l'Eglise, en pleine crise, se voit disputer son pouvoir spirituel et temporel. C'est aussi l'apogée de l'inquisition. Un thriller moyenageux très attendu ...","4,8","4,2",--
Little Big Man,20 juillet 2016,Arthur Penn,2h 19min,"Aventure,Western","Dustin Hoffman,Faye Dunaway,Martin Balsam","L'histoire d'un visage pâle partagé entre ses origines et sa famille d'adoption, indienne.",,"4,2",
La La Land,,Damien Chazelle,2h 08min,"Comédie musicale,Romance","Ryan Gosling,Emma Stone,John Legend","Au cœur de Los Angeles, une actrice en devenir prénommée Mia sert des cafés entre deux auditions. De son côté, Sebastian, passionné de jazz, joue du piano dans des clubs miteux pour assurer sa subsistance. Tous deux sont bien loin de la vie rêvée à laquelle ils aspirent…","4,4","4,2",--
Call Me By Your Name,,Luca Guadagnino,2h 11min,"Drame,Romance","Armie Hammer,Timothée Chalamet,Michael Stuhlbarg","Été 1983. Elio Perlman, 17 ans, passe ses vacances dans la villa du XVIIe siècle que possède sa famille en Italie, à jouer de la musique classique, à lire et à flirter avec son amie Marzia. Son père, éminent professeur spécialiste de la culture gréco-romaine, et sa mère, traductrice, lui ont donné une excellente éducation, et il est proche de ses parents. ","4,2","4,2",--
The Greatest Showman,,Michael Gracey,1h 44min,"Drame,Comédie musicale","Hugh Jackman,Zac Efron,Michelle Williams","L’histoire de P.T Barnum, un visionnaire parti de rien pour créer un spectacle devenu un phénomène planétaire.","2,7","4,2",--
La grande illusion,15 février 2012,Jean Renoir,1h 54min,"Drame,Guerre","Jean Gabin,Dita Parlo,Erich Von Stroheim","Première Guerre mondiale. Deux soldats français sont faits prisonniers par le commandant von Rauffenstein, un Allemand raffiné et respectueux. Conduits dans un camp de prisonniers, ils aident leurs compagnons de chambrée à creuser un tunnel secret.","5,0","4,2",--
Les Raisins de la colère,23 janvier 2019,John Ford,2h 09min,Drame,"Henry Fonda,Jane Darwell,John Carradine","Expropriée de ses terres, une famille de fermiers traverse les Etats-Unis à la recherche d'un emploi. Mais dans ces années de crise, ils ne rencontrent que spoliation et injustice.","4,8","4,2",--
Requiem for a Dream,,Darren Aronofsky,1h 42min,Drame,"Jared Leto,Ellen Burstyn,Jennifer Connelly","Harry Goldfarb est un junkie. Il passe ses journées en compagnie de sa petite amie Marion et son copain Tyrone. Ensemble, ils s'inventent un paradis artificiel. En quête d'une vie meilleure, le trio est entraîné dans une spirale infernale...","4,0","4,2",--
Sorcerer,15 juillet 2015,William Friedkin,2h 01min,"Action,Aventure,Drame","Roy Scheider,Bruno Cremer,Francisco Rabal","Quatre étrangers de nationalités différentes, chacun recherché dans son pays, s'associent pour conduire un chargement de nitroglycérine à travers la jungle sud-américaine… Un voyage au coeur des ténèbres…",,"4,2",
Une Place au soleil,1 mai 2013,George Stevens,2h 02min,"Drame,Romance","Montgomery Clift,Elizabeth Taylor,Shelley Winters","George est engagé dans l'entreprise de son oncle Eastman. Il devient l'amant d'une ouvrière, Alice, puis rencontre Angela Vickers, une jeune bourgeoise qui s'éprend de lui.","5,0","4,2",--
Bienvenue à Gattaca,,Andrew Niccol,1h 46min,Science Fiction,"Ethan Hawke,Uma Thurman,Jude Law","Dans un monde parfait, Gattaca est un centre d'études et de recherches spatiales pour des jeunes gens au patrimoine génétique impeccable. Jérôme, candidat idéal, voit sa vie détruite par un accident...",,"4,2",
Toy Story 4,,Josh Cooley,1h 40min,"Aventure,Animation,Comédie","Jean-Philippe Puymartin,Tom Hanks,Richard Darbois","Woody a toujours privilégié la joie de ses jeunes propriétaires – Andy puis Bonnie – et de ses compagnons, n’hésitant pas à prendre tous les risques pour eux, aussi inconsidérés soient-ils. L’arrivée de Fourchette un nouveau jouet qui ne veut pas en être un met toute la petite bande en émoi.","4,2","4,2",--
Avengers: Endgame,,Joe Russo,3h 01min,"Action,Aventure,Fantastique","Robert Downey Jr.,Chris Evans,Mark Ruffalo","Thanos ayant anéanti la moitié de l’univers, les Avengers restants resserrent les rangs dans ce vingt-deuxième film des Studios Marvel, grande conclusion d’un des chapitres de l’Univers Cinématographique Marvel.","3,2","4,2",--
Parvana,,Nora Twomey,1h 33min,"Animation,Famille","Golshifteh Farahani,Saara Chaudry,Soma Bhatia","En Afghanistan, sous le régime taliban, Parvana, onze ans, grandit à Kaboul ravagée par la guerre. Elle aime écouter les histoires que lui raconte son père, lecteur et écrivain public. Mais un jour, il est arrêté et la vie de Parvana bascule à jamais. Car sans être accompagnée d’un homme, on ne peut plus travailler, ramener de l'argent ni même acheter de la nourriture.","4,1","4,2",--
HEIMAT II – L’exode,,Edgar Reitz,3h 51min,"Drame,Historique","Jan Dieter Schneider,Antonia Bill,Maximilian Scheidt","1842-1844, L’histoire de la famille Simon. Les coups du destin risquent de détruire cette famille mais c’est une histoire de courage et de foi en l’avenir.","4,2","4,2",--
Tout ce que le ciel permet,31 juillet 2019,Douglas Sirk,1h 29min,"Comédie dramatique,Romance","Jane Wyman,Rock Hudson,Agnes Moorehead","L'histoire d'une veuve qui renonce, à cause de sa famille, à refaire sa vie avec un homme plus jeune et d'une autre classe sociale que la sienne.","5,0","4,2",--
L'Affaire Cicéron,6 novembre 2019,Joseph L. Mankiewicz,1h 48min,"Drame,Espionnage,Thriller","James Mason,Danielle Darrieux,Michael Rennie","En 1944, Diello sert un ambassadeur anglais à Ankara, en Turquie. Il en profite pour livrer des photographies de documents secrets alliés aux Nazis sous un nom de code : Cicéron. La comtesse polonaise Anna Staviska fait mine de l'aider...","5,0","4,2",--
Les Plus belles années de notre vie,20 novembre 2002,William Wyler,2h 52min,"Drame,Guerre","Myrna Loy,Fredric March,Dana Andrews","En 1945, trois soldats démobilisés font connaissance dans l'avion qui les ramène dans leur ville natale. Leurs sentiments sont partagés entre l'impatience et l'appréhension. Ils ne tardent pas à reprendre contact avec la réalité quotidienne...","5,0","4,2",--
L'Ange ivre,17 avril 2019,Akira Kurosawa,1h 38min,"Drame,Thriller","Toshirô Mifune,Takashi Shimura,Reisaburo Yamamoto","Appelé en pleine nuit à soigner un jeune gangster pour une blessure à la main, un médecin alcoolique décèle une affection plus grave, la tuberculose. Il tente de soigner le jeune homme qui ne veut rien entendre, et malgré les disputes et les menaces, il se prend d'amitié pour lui.","4,0","4,2",--
Dans ses yeux,,Juan José Campanella,2h 09min,"Policier,Drame,Romance","Ricardo Darín,Soledad Villamil,Pablo Rago","1974, Buenos Aires. Benjamin Esposito enquête sur le meurtre violent d'une jeune femme. 25 ans plus tard, il décide d'écrire un roman basé sur cette affaire ""classée"" dont il a été témoin et protagoniste...","3,6","4,2",--
La Chasse,,Thomas Vinterberg,1h 51min,Drame,"Mads Mikkelsen,Thomas Bo Larsen,Annika Wedderkopp","Après un divorce difficile, Lucas, quarante ans, a trouvé une nouvelle petite amie, un nouveau travail et il s'applique à reconstruire sa relation avec Marcus, son fils adolescent. Mais quelque chose tourne mal. Presque rien. Une remarque en passant. Un mensonge fortuit.","3,1","4,2",--
Snatch,,Guy Ritchie,1h 43min,"Comédie,Policier","Jason Statham,Brad Pitt,Vinnie Jones","Franky vient de voler un énorme diamant qu'il doit livrer à Avi, un mafieux new-yorkais. En chemin, il fait escale à Londres où il se laisse convaincre par Boris de parier sur un combat de boxe clandestin.","3,7","4,2",--
Bac Nord,,Cédric Jimenez,1h 44min,"Policier,Thriller","Gilles Lellouche,François Civil,Karim Leklou","2012. Les quartiers Nord de Marseille détiennent un triste record : la zone au taux de criminalité le plus élevé de France. Poussée par sa hiérarchie, la BAC Nord, brigade de terrain, cherche sans cesse à améliorer ses résultats.","3,5","4,2",--
